YIL,AY,AYIN KACINCI GUNU,HANGI GUN,SAAT (dakika),KADININ YASI,KADININ MESLEGI,ERKEGIN YASI,ERKEGIN MESLEGI,KADININ UYRUGU,IL,FAIL,SUCUN SEKLI,SUC YERI,SEBEP,BIRDEN FAZLA KISI MI OLDURULDU?,FAILIN SONU
2022,Agustos,4,Persembe,,62.0,,66.0,,Turkiye,Yozgat,tanidik,atesli silah,sokak,gecimsizlik,evet,tutuklu
2022,Agustos,6,Cumartesi,,55.0,,24.0,,Turkiye,Zonguldak,tanidik,kesici alet,sokak,gecimsizlik,evet,tutuklu
2022,Agustos,7,Pazar,,35.0,esnaf,41.0,ciftci,Turkiye,Tekirdag,sevgili,yuksekten atma,sokak,kiskanclik,hayir,intihar
2022,Agustos,7,Pazar,,43.0,isci,57.0,,Turkiye,Balikesir,es,atesli silah,isyeri,bosanma/ayrilma,hayir,intihar
2022,Agustos,9,Sali,,45.0,,22.0,,Turkiye,Kahramanmaras,ogul,atesli silah,ev,psikolojik sorunlar,evet,intihar
2022,Agustos,9,Sali,,40.0,,49.0,,Turkiye,Izmir,es,atesli silah,ev,,hayir,tutuklu
2022,Agustos,10,Carsamba,1290.0,38.0,,40.0,,Turkiye,Canakkale,es,atesli silah,ev,bosanma/ayrilma,hayir,tutuklu
2022,Agustos,13,Cumartesi,0.0,63.0,esnaf,63.0,,Turkiye,Istanbul,sevgili,atesli silah,sokak,bosanma/ayrilma,hayir,tutuklu
2022,Agustos,13,Cumartesi,,33.0,,34.0,,Turkiye,Izmir,es,kesici alet,sokak,bosanma/ayrilma,hayir,tutuklu
2022,Agustos,13,Cumartesi,1320.0,54.0,,69.0,,Turkiye,Izmir,akraba,atesli silah,ev,mal/miras,evet,tutuklu
2022,Agustos,14,Pazar,1320.0,37.0,,42.0,,Turkiye,Antalya,es,atesli silah,sokak,bosanma/ayrilma,hayir,tutuklu
2022,Agustos,16,Sali,,60.0,,14.0,,Turkiye,Canakkale,akraba,atesli silah,ev,,hayir,tutuklu
2022,Agustos,16,Sali,,30.0,,37.0,,Turkiye,Afyon,es,atesli silah,sokak,kiskanclik,evet,tutuklu
2022,Agustos,17,Carsamba,,22.0,,30.0,,Turkiye,Aydin,es,atesli silah,ev,kiskanclik,hayir,tutuklu
2022,Agustos,17,Carsamba,,80.0,,58.0,,Turkiye,Adana,ogul,bogma,ev,psikolojik sorunlar,hayir,intihar ve tutuklu
2022,Agustos,18,Persembe,,,,,,Turkiye,Ankara,es,darp,ev,,hayir,tutuklu
2022,Agustos,19,Cuma,,32.0,,36.0,,Turkiye,Izmir,es,atesli silah,ev,bosanma/ayrilma,evet,tutuklu
2022,Agustos,19,Cuma,,52.0,,36.0,esnaf,Turkiye,Sinop,tanidik,kesici alet,sokak,borc/alacak,hayir,tutuklu
2022,Agustos,21,Pazar,,50.0,,30.0,,Suriye,Kilis,akraba,kesici alet,kirsal alan,,evet,tutuklu
2022,Agustos,24,Carsamba,,45.0,,47.0,,Turkiye,Konya,es,atesli silah,ev,,hayir,tutuklu
2022,Agustos,24,Carsamba,90.0,37.0,,40.0,,Turkiye,Sirnak,es,atesli silah,ev,psikolojik sorunlar,evet,tutuklu
2022,Agustos,25,Persembe,,,,,,Gurcistan,Artvin,es,kesici alet,ev,kiskanclik,evet,intihar
2022,Agustos,26,Cuma,,45.0,,46.0,,Turkiye,Istanbul,eski es,atesli silah,ev,kiskanclik,evet,tutuklu
2022,Agustos,29,Pazartesi,,48.0,,47.0,,Turkiye,Sinop,,kesici alet,ev,,hayir,tutuklu
2022,Agustos,31,Carsamba,1290.0,33.0,,32.0,memur,Turkiye,Aydin,es,kesici alet,kirsal alan,psikolojik sorunlar,hayir,tutuklu
2022,Temmuz,1,Cuma,,38.0,,41.0,,Turkiye,Ankara,es,atesli silah,sokak,bosanma/ayrilma,evet,intihar
2022,Temmuz,2,Cumartesi,,30.0,,42.0,,Turkiye,Tekirdag,nisanli,kesici alet,ev,bosanma/ayrilma,hayir,tutuklu
2022,Temmuz,3,Pazar,630.0,37.0,kuafor,51.0,isci,Turkiye,Balikesir,eski es,atesli silah,sokak,bosanma/ayrilma,hayir,intihar
2022,Temmuz,5,Sali,,25.0,isci,31.0,issiz,Turkiye,Mersin,es,atesli silah,ev,bosanma/ayrilma,evet,intihar
2022,Temmuz,5,Sali,,34.0,,46.0,hurdaci,Turkiye,Konya,es,kesici alet,sokak,bosanma/ayrilma,hayir,tutuklu
2022,Temmuz,5,Sali,1020.0,50.0,,25.0,issiz,Turkiye,Istanbul,ogul,atesli silah,ev,,evet,intihar
2022,Temmuz,5,Sali,1020.0,27.0,,25.0,issiz,Turkiye,Istanbul,kardes,atesli silah,ev,,evet,intihar
2022,Temmuz,6,Carsamba,,71.0,,,,Turkiye,Istanbul,tanidik,atesli silah,isyeri,gecimsizlik,evet,tutuklu
2022,Temmuz,6,Carsamba,720.0,45.0,,52.0,,Turkiye,Konya,es,kesici alet,ev,,hayir,tutuklu
2022,Temmuz,8,Cuma,,79.0,,33.0,,Turkiye,Erzincan,komsu,darp,sokak,,hayir,tutuklu
2022,Temmuz,11,Pazartesi,60.0,25.0,,31.0,,Turkiye,Istanbul,es,atesli silah,ev,bosanma/ayrilma,evet,tutuklu
2022,Temmuz,11,Pazartesi,60.0,56.0,,31.0,,Turkiye,Istanbul,damat,atesli silah,ev,bosanma/ayrilma,evet,tutuklu
2022,Temmuz,13,Carsamba,1380.0,38.0,,39.0,isci,Turkiye,Denizli,es,atesli silah,ev,bosanma/ayrilma,evet,tutuklu
2022,Temmuz,13,Carsamba,1140.0,,,,,Turkiye,Isparta,es,darp,ev,,hayir,intihar
2022,Temmuz,14,Persembe,90.0,38.0,,55.0,,Turkiye,Izmir,es,kesici alet,ev,,hayir,tutuklu
2022,Temmuz,17,Pazar,,38.0,,34.0,,Turkiye,Kirsehir,kardes,atesli silah,ev,kiskanclik,hayir,tutuklu
2022,Temmuz,21,Persembe,1380.0,32.0,,35.0,,Turkiye,Istanbul,akraba,bogma,kirsal alan,kiskanclik,hayir,tutuklu
2022,Temmuz,21,Persembe,,28.0,,28.0,,Turkiye,Kocaeli,es,kesici alet,ev,kiskanclik,hayir,tutuklu
2022,Temmuz,21,Persembe,570.0,38.0,,51.0,,Turkiye,Izmir,es,atesli silah,arac,bosanma/ayrilma,hayir,tutuklu
2022,Temmuz,22,Cuma,,45.0,,,,Turkiye,Bursa,tanidik,atesli silah,sokak,,hayir,tutuklu
2022,Temmuz,23,Cumartesi,,29.0,,34.0,,Turkiye,Mugla,eski sevgili,atesli silah,ev,bosanma/ayrilma,hayir,intihar
2022,Temmuz,24,Pazar,,40.0,,43.0,isci,Turkiye,Eskisehir,es,atesli silah,ev,,hayir,intihar
2022,Temmuz,26,Sali,,32.0,kuafor,34.0,kuafor,Turkiye,Istanbul,eski sevgili,atesli silah,arac,bosanma/ayrilma,hayir,tutuklu
2022,Temmuz,29,Cuma,1200.0,,,,,Turkiye,Yozgat,es,atesli silah,,bosanma/ayrilma,evet,intihar
2022,Temmuz,30,Cumartesi,,19.0,eglence mekani calisani,24.0,eglence mekani calisani,Turkiye,Mugla,eski sevgili,kesici alet,isyeri,,hayir,tutuklu
2022,Temmuz,31,Pazar,,31.0,,,,Turkiye,Izmir,es,atesli silah,isyeri,bosanma/ayrilma,hayir,kacak
2022,Haziran,1,Carsamba,1380.0,55.0,,51.0,,Turkiye,Istanbul,eski es,yuksekten atma,ev,kiskanclik,hayir,tutuklu
2022,Haziran,3,Cuma,1380.0,31.0,,42.0,issiz,Turkiye,Denizli,es,atesli silah,ev,borc/alacak,evet,intihar
2022,Haziran,4,Cumartesi,180.0,30.0,,,,Turkiye,Ankara,akraba,bogma,ev,kiskanclik,hayir,tutuklu
2022,Haziran,4,Cumartesi,60.0,65.0,,18.0,,Turkiye,Istanbul,tanidik,bogma,ev,gasp,hayir,tutuklu
2022,Haziran,5,Pazar,,81.0,,86.0,,Turkiye,Edirne,es,atesli silah,ev,,hayir,intihar
2022,Haziran,7,Sali,,,,49.0,,Turkiye,Ankara,es,atesli silah,ev,bosanma/ayrilma,hayir,intihar
2022,Haziran,7,Sali,660.0,18.0,,27.0,,Turkiye,Denizli,es,atesli silah,ev,kiskanclik,hayir,tutuklu
2022,Haziran,8,Carsamba,1380.0,42.0,,48.0,,Turkiye,Izmir,es,atesli silah,ev,kiskanclik,evet,tutuklu
2022,Haziran,8,Carsamba,,27.0,,35.0,,Turkiye,Corum,akraba,atesli silah,sokak,bosanma/ayrilma,hayir,tutuklu
2022,Haziran,10,Cuma,,45.0,,23.0,,Turkiye,Bursa,ogul,bogma,ev,gecimsizlik,hayir,tutuklu
2022,Haziran,10,Cumartesi,960.0,57.0,,62.0,,Turkiye,Izmir,komsu,atesli silah,sokak,gecimsizlik,evet,tutuklu
2022,Haziran,10,Cumartesi,960.0,37.0,,62.0,,Turkiye,Izmir,komsu,atesli silah,sokak,gecimsizlik,evet,tutuklu
2022,Haziran,11,Cumartesi,1230.0,32.0,temizlik gorevlisi,38.0,isci,Turkiye,Rize,es,kesici alet,ev,kiskanclik,hayir,tutuklu
2022,Haziran,11,Cumartesi,1110.0,66.0,,36.0,,Turkiye,Canakkale,ogul,kesici alet,ev,,evet,tutuklu
2022,Haziran,14,Sali,,46.0,,50.0,polis,Yabanci,Batman,es,atesli silah,sokak,,evet,intihar
2022,Haziran,15,Carsamba,60.0,32.0,,40.0,memur,Turkiye,Ankara,es,kesici alet,ev,,hayir,intihar
2022,Haziran,15,Carsamba,,24.0,,,,Turkiye,Afyon,eski sevgili,,otel,,hayir,tutuklu
2022,Haziran,16,Persembe,,40.0,,57.0,,Turkiye,Zonguldak,akraba,atesli silah,ev,gecimsizlik,hayir,tutuklu
2022,Haziran,17,Cuma,,24.0,,24.0,,Turkiye,Tekirdag,eski es,kesici alet,ev,bosanma/ayrilma,evet,tutuklu
2022,Haziran,17,Cuma,1200.0,45.0,,26.0,,Turkiye,Erzurum,sevgili,kesici alet,ev,kiskanclik,hayir,tutuklu
2022,Haziran,17,Cuma,1050.0,26.0,,25.0,isci,Turkiye,Antalya,es,atesli silah,ev,,evet,intihar
2022,Haziran,17,Cuma,,41.0,,43.0,,Suriye,Gaziantep,es,kesici alet,arac,,evet,tutuklu
2022,Haziran,17,Cuma,,14.0,,,polis,Turkiye,Izmir,baba,atesli silah,ev,bosanma/ayrilma,evet,intihar
2022,Haziran,17,Cuma,,10.0,,,polis,Turkiye,Izmir,baba,atesli silah,ev,bosanma/ayrilma,evet,intihar
2022,Haziran,19,Pazar,,45.0,,76.0,,Turkiye,Adana,akraba,atesli silah,sokak,,hayir,tutuklu
2022,Haziran,20,Pazartesi,,60.0,,43.0,,Turkiye,Edirne,ogul,yakma,ev,,hayir,tutuklu
2022,Haziran,20,Pazartesi,,28.0,,27.0,,Turkiye,Adana,eski es,atesli silah,ev,bosanma/ayrilma,evet,tutuklu
2022,Haziran,21,Sali,,40.0,,52.0,,Kirgizistan,Giresun,dini nikahli es,atesli silah,sokak,kiskanclik,hayir,tutuklu
2022,Haziran,22,Carsamba,,35.0,,41.0,,Turkiye,Zonguldak,dini nikahli es,atesli silah,ev,,evet,intihar
2022,Haziran,22,Carsamba,,42.0,,56.0,,Turkiye,Balikesir,sevgili,atesli silah,sokak,kiskanclik,hayir,tutuklu
2022,Haziran,22,Carsamba,,27.0,,40.0,,Turkiye,Isparta,es,atesli silah,ev,bosanma/ayrilma,hayir,tutuklu
2022,Haziran,24,Cuma,330.0,72.0,,92.0,,Turkiye,Mus,es,atesli silah,ev,,hayir,tutuklu
2022,Haziran,25,Cumartesi,1320.0,24.0,,28.0,asker,Turkiye,Balikesir,sevgili,atesli silah,kirsal alan,,hayir,intihar
2022,Haziran,27,Pazartesi,900.0,58.0,,61.0,,Turkiye,Istanbul,es,bogma,ev,psikolojik sorunlar,hayir,tutuklu
2022,Haziran,28,Sali,1230.0,65.0,,71.0,,Turkiye,Manisa,es,atesli silah,ev,bosanma/ayrilma,evet,tutuklu
2022,Haziran,30,Persembe,1380.0,56.0,,71.0,,Turkiye,Istanbul,eski es,kesici alet,ev,bosanma/ayrilma,hayir,tutuklu
2022,Mayis,1,Pazar,,50.0,,55.0,,Turkiye,Duzce,es,atesli silah,ev,bosanma/ayrilma,hayir,tutuklu
2022,Mayis,1,Pazar,,32.0,,38.0,,Turkiye,Ankara,nisanli,atesli silah,ev,bosanma/ayrilma,hayir,tutuklu
2022,Mayis,2,Pazartesi,1260.0,,,,,Suriye,Izmir,es,atesli silah,ev,kiskanclik,hayir,tutuklu
2022,Mayis,2,Pazartesi,870.0,26.0,,29.0,,Turkiye,Aksaray,eski es,kesici alet,sokak,gecimsizlik,hayir,tutuklu
